gene_id	lnc_id	Total (abs)	Total (rel)	gene_name	CDT	all_bind_sites	pearson_cor	spearman_cor
ENSG00000163520.14	HSALNG0024292	3.0	3.16e-10	FBLN2	chr3:12520000-14240000	4.0	0.7720954918182156	0.7080778946765067
ENSG00000154767.14	HSALNG0024318	6.0	2.79e-10	XPC	chr3:13480000-14560000	5.0	0.7424874959319359	0.6686208338053583
ENSG00000163513.19	HSALNG0147770	31.0	8.75e-09	TGFBR2	chr3:28440000-30840000	0.0	0.6335399798087261	0.749369243054971
ENSG00000076242.15	HSALNG0025161	54.0	8.9e-10	MLH1	chr3:36000000-37480000	3.0	0.5356090779353991	0.5132667754486956
ENSG00000181555.20	HSALNG0147516	117.0	4.9e-09	SETD2	chr3:46480000-47840000	1.0	0.5450953861619079	0.5412428004116501
ENSG00000181555.20	HSALNG0025775	3.0	1.03e-09	SETD2	chr3:46480000-47840000	0.0	0.5812428208276627	0.5600123677360256
ENSG00000157388.19	HSALNG0147814	127.0	3.22e-09	CACNA1D	chr3:52760000-54000000	15.0	0.8201366598451114	0.7537569298112452
ENSG00000114861.21	HSALNG0026756	522.0	1.22e-08	FOXP1	chr3:70080000-71760000	0.0	0.5752867676125404	0.6641410867161249
ENSG00000114861.21	HSALNG0026761	3.0	4.39e-11	FOXP1	chr3:70080000-71760000	0.0	0.2536584333460425	0.5363512258503725
ENSG00000114861.21	HSALNG0026764	6.0	5.39e-11	FOXP1	chr3:70080000-71760000	0.0	0.437394342473274	0.658572036792071
ENSG00000185008.17	HSALNG0026968	27.0	4.64e-10	ROBO2	chr3:75720000-78680000	0.0	0.5856064905377193	0.5318317282994754
ENSG00000114423.22	HSALNG0147876	2.0	2.18e-11	CBLB	chr3:104280000-106880000	0.0	0.5614777157289181	0.6744212218416785
ENSG00000114423.22	HSALNG0027796	1.0	2.29e-11	CBLB	chr3:104280000-106880000	0.0	0.434730317027306	0.5012612021251288
ENSG00000051341.14	HSALNG0028450	1.0	2.71e-10	POLQ	chr3:120520000-122080000	0.0	0.6570369099214854	0.631751021748231
ENSG00000169714.16	HSALNG0028861	1.0	5.88e-10	CNBP	chr3:128600000-129120000	0.0	0.522831685743092	0.5921527006382619
ENSG00000175054.16	HSALNG0029454	4.0	6.3e-11	ATR	chr3:141680000-142840000	0.0	0.679497695464425	0.6595271234384664
ENSG00000085276.19	HSALNG0030569	189.0	8.19e-09	MECOM	chr3:167640000-169480000	12.0	0.4658635455807225	0.6137788718086462
ENSG00000085276.19	HSALNG0147966	3.0	2.68e-11	MECOM	chr3:167640000-169480000	0.0	0.49782659498222104	0.6435584597342061
ENSG00000085276.19	HSALNG0147969	8.0	1.45e-10	MECOM	chr3:167640000-169480000	0.0	0.49718741339695155	0.6448586484468501
ENSG00000085276.19	HSALNG0030572	8.0	1.71e-10	MECOM	chr3:167640000-169480000	0.0	0.39563413736844205	0.6045212002898547
ENSG00000085276.19	HSALNG0030574	18134.0	1.48e-07	MECOM	chr3:167640000-169480000	0.0	0.44211760630243013	0.6149994600932978
ENSG00000085276.19	HSALNG0030576	199.0	4.05e-09	MECOM	chr3:167640000-169480000	0.0	0.5056728737044257	0.5495012069761331
ENSG00000085276.19	HSALNG0147972	45.0	9.71e-09	MECOM	chr3:167640000-169480000	0.0	0.45563288298597193	0.6413463262311071
ENSG00000085276.19	HSALNG0030578	139.0	1.78e-09	MECOM	chr3:167640000-169480000	0.0	0.38310173901959743	0.58601585943118
ENSG00000085276.19	HSALNG0030579	33.0	6.28e-10	MECOM	chr3:167640000-169480000	0.0	0.19414268931642	0.554812474693589
ENSG00000085276.19	HSALNG0030581	27.0	5.59e-10	MECOM	chr3:167640000-169480000	0.0	0.5767346715927406	0.6406406180471216
ENSG00000181449.4	HSALNG0031034	11.0	1.74e-10	SOX2	chr3:180280000-182400000	0.0	0.5556951620302717	0.670683940748675
ENSG00000073792.15	HSALNG0031316	150.0	5.83e-09	IGF2BP2	chr3:185320000-185680000	4.0	0.3155759162572923	0.549355239252392
ENSG00000073792.15	HSALNG0031320	18.0	1.92e-10	IGF2BP2	chr3:185320000-185680000	0.0	0.3600459682509688	0.7629060993651606
ENSG00000073792.15	HSALNG0031322	51.0	9e-10	IGF2BP2	chr3:185320000-185680000	0.0	0.2162251674350146	0.6914691759173792
ENSG00000073792.15	HSALNG0031326	25.0	9.69e-10	IGF2BP2	chr3:185320000-185680000	0.0	0.31966729916557457	0.510334926375155
ENSG00000145012.13	HSALNG0031463	1.0	5.47e-09	LPP	chr3:187440000-188960000	11.0	0.36375972740052537	0.5226856771599326
ENSG00000073282.13	HSALNG0031506	85.0	1.88e-09	TP63	chr3:188680000-189680000	0.0	0.3425549151365854	0.5283380457492723
ENSG00000073282.13	HSALNG0031519	1.0	1.08e-11	TP63	chr3:188680000-189680000	1.0	0.7695765200470172	0.6105420928763278
ENSG00000073282.13	HSALNG0031521	13.0	2.28e-10	TP63	chr3:188680000-189680000	0.0	0.7502710114778921	0.6304125060194169
ENSG00000068078.18	HSALNG0032320	4.0	3.09e-10	FGFR3	chr4:1000000-3480000	43.0	0.11503792528497836	0.5632997217513829
ENSG00000109685.18	HSALNG0032263	13.0	1.69e-08	NSD2	chr4:1000000-3480000	8.0	0.4503238960366742	0.5103168892191501
ENSG00000168421.13	HSALNG0033999	29.0	6.26e-10	RHOH	chr4:40000000-41280000	5.0	0.5898200719138429	0.7370530546722246
ENSG00000135605.13	HSALNG0034266	8.0	6.07e-10	TEC	chr4:45440000-49080000	0.0	0.4384654644375253	0.6347071259291723
ENSG00000135605.13	HSALNG0034277	71.0	5.81e-10	TEC	chr4:45440000-49080000	0.0	0.5093716009473716	0.7982041422688135
ENSG00000135605.13	HSALNG0034278	148.0	6.67e-09	TEC	chr4:45440000-49080000	0.0	0.38759040691620045	0.5549854217579282
ENSG00000128052.10	HSALNG0034511	2.0	3.59e-11	KDR	chr4:55120000-56280000	0.0	0.8591737439064878	0.6230956356551237
ENSG00000163629.13	HSALNG0035657	67.0	5.68e-09	PTPN13	chr4:87000000-87840000	6.0	0.09903510494158024	0.6100376177654561
ENSG00000163629.13	HSALNG0035662	22.0	3.22e-09	PTPN13	chr4:87000000-87840000	11.0	0.552595345548287	0.5086347087872727
ENSG00000163629.13	HSALNG0035663	1.0	2.75e-11	PTPN13	chr4:87000000-87840000	0.0	0.6505144199306967	0.6332491486718314
ENSG00000168769.13	HSALNG0036164	1.0	1.77e-11	TET2	chr4:104840000-108560000	3.0	0.5978650045708025	0.587652218704779
ENSG00000138795.10	HSALNG0036270	27.0	2.38e-10	LEF1	chr4:108880000-109720000	11.0	0.7375642982644385	0.8479894665777337
ENSG00000138795.10	HSALNG0036274	4.0	3.21e-11	LEF1	chr4:108880000-109720000	2.0	0.40436261787757743	0.5457687860924614
ENSG00000138795.10	HSALNG0036275	5.0	8.05e-11	LEF1	chr4:108880000-109720000	0.0	0.48307279918240115	0.5928905935927438
ENSG00000196159.11	HSALNG0036975	15.0	4.64e-10	FAT4	chr4:126200000-126760000	2.0	0.5876034287941255	0.7223519334283334
ENSG00000109670.16	HSALNG0148211	103.0	2.79e-09	FBXW7	chr4:153240000-153680000	6.0	0.47583651923934467	0.5563218878613572
ENSG00000109670.16	HSALNG0037911	6.0	8.87e-11	FBXW7	chr4:153240000-153680000	0.0	0.3742283435643978	0.505597504077842
ENSG00000083857.14	HSALNG0039189	34.0	3.55e-10	FAT1	chr4:187120000-190480000	23.0	0.6568716029578079	0.7398296055565942
ENSG00000072364.13	HSALNG0044887	3.0	7.18e-11	AFF4	chr5:130480000-133360000	0.0	0.42415319025788745	0.5024533064974489
ENSG00000164330.17	HSALNG0046177	184.0	7.02e-09	EBF1	chr5:157480000-158560000	7.0	0.7386160119572113	0.6080519793476253
ENSG00000164330.17	HSALNG0149009	3.0	3.76e-11	EBF1	chr5:157480000-158560000	0.0	0.6115073923451332	0.7763776759867399
ENSG00000164330.17	HSALNG0046184	125.0	1.11e-09	EBF1	chr5:157480000-158560000	0.0	0.5828633635129624	0.7468005272721716
ENSG00000164330.17	HSALNG0046185	1.0	1.29e-11	EBF1	chr5:157480000-158560000	0.0	0.6121192126528884	0.7010245034951192
ENSG00000164330.17	HSALNG0046186	1.0	8.22e-12	EBF1	chr5:157480000-158560000	5.0	0.6615341489140205	0.7815158546909258
ENSG00000164330.17	HSALNG0149010	83.0	8.43e-10	EBF1	chr5:157480000-158560000	0.0	0.6173111624022963	0.7091990616013237
ENSG00000164330.17	HSALNG0149011	10.0	1.62e-10	EBF1	chr5:157480000-158560000	0.0	0.536600346142744	0.7286926122378077
ENSG00000164330.17	HSALNG0046188	58.0	6.98e-10	EBF1	chr5:157480000-158560000	0.0	0.6924114927568691	0.8627795051068107
ENSG00000112561.18	HSALNG0050049	2.0	9.37e-11	TFEB	chr6:40280000-41760000	3.0	0.49501046485876593	0.5706495150034644
ENSG00000118689.15	HSALNG0052579	13.0	3.05e-10	FOXO3	chr6:108800000-109480000	0.0	0.739490536071718	0.6320823286248336
ENSG00000118689.15	HSALNG0052582	1.0	2.87e-11	FOXO3	chr6:108800000-109480000	0.0	0.6473614260125953	0.6328907618841347
ENSG00000118689.15	HSALNG0052589	1.0	8.63e-12	FOXO3	chr6:108800000-109480000	0.0	0.4702809812091719	0.5273006028975246
ENSG00000118689.15	HSALNG0052591	19.0	2.2e-10	FOXO3	chr6:108800000-109480000	0.0	0.3429927649491224	0.5658533716483309
ENSG00000146374.14	HSALNG0053357	9.0	1.83e-10	RSPO3	chr6:126080000-127600000	4.0	0.7190399011976956	0.5583729334546894
ENSG00000118515.11	HSALNG0053618	892.0	7.81e-09	SGK1	chr6:134440000-135360000	7.0	0.5893371185599607	0.6061273650390767
ENSG00000118515.11	HSALNG0053621	1089.0	1.34e-08	SGK1	chr6:134440000-135360000	6.0	0.3736931438822525	0.5579568480913294
ENSG00000118515.11	HSALNG0053626	1723.0	2.56e-08	SGK1	chr6:134440000-135360000	9.0	0.3416199357866481	0.568520880614609
ENSG00000091831.23	HSALNG0054377	182.0	2.78e-09	ESR1	chr6:151680000-153320000	0.0	0.6994144087903355	0.6138546934712046
ENSG00000091831.23	HSALNG0054380	182.0	2.71e-09	ESR1	chr6:151680000-153320000	34.0	0.8681523447011285	0.5680321378828737
ENSG00000091831.23	HSALNG0054381	23.0	2.49e-10	ESR1	chr6:151680000-153320000	0.0	0.807276560140116	0.5016517288630875
ENSG00000091831.23	HSALNG0054388	409.0	6.43e-07	ESR1	chr6:151680000-153320000	0.0	0.896924374064837	0.7328093562669378
ENSG00000112531.17	HSALNG0054946	14.0	2.26e-09	QKI	chr6:161800000-165760000	0.0	0.6583077231452171	0.6467244939832845
ENSG00000183742.13	HSALNG0056468	3.0	3.53e-11	MACC1	chr7:19720000-20880000	7.0	0.6543556327992133	0.7116449961455545
ENSG00000078399.19	HSALNG0056854	1.0	8.24e-11	HOXA9	chr7:26720000-27640000	6.0	0.39979030625322154	0.5386899912805705
ENSG00000078399.19	HSALNG0056860	4.0	4.44e-10	HOXA9	chr7:26720000-27640000	7.0	0.5851119007081315	0.5525227840969416
ENSG00000078399.19	HSALNG0056858	1.0	1.01e-10	HOXA9	chr7:26720000-27640000	0.0	0.6859020758198879	0.6078029814334011
ENSG00000078399.19	HSALNG0056863	12.0	4.86e-09	HOXA9	chr7:26720000-27640000	1.0	0.7441972823027382	0.9151118440784239
ENSG00000106483.12	HSALNG0057312	4.0	2.19e-10	SFRP4	chr7:37240000-38440000	0.0	0.43729398225854854	0.6310534208271363
ENSG00000106483.12	HSALNG0057316	1.0	1.24e-11	SFRP4	chr7:37240000-38440000	2.0	0.1059338201458487	0.5810124603438701
ENSG00000146648.18	HSALNG0058148	7.0	7.08e-11	EGFR	chr7:54760000-55360000	0.0	0.22347191101588476	0.584436206569054
ENSG00000146648.18	HSALNG0058166	3.0	3.01e-11	EGFR	chr7:54760000-55360000	3.0	0.6481663075745677	0.8663175092159634
ENSG00000127946.17	HSALNG0059014	20.0	6.52e-10	HIP1	chr7:72440000-77000000	1.0	0.5725294790302559	0.5347855041794797
ENSG00000198822.10	HSALNG0059352	5.0	7.01e-11	GRM3	chr7:85480000-86560000	0.0	0.2834049340394712	0.7702143998230518
ENSG00000105810.9	HSALNG0059553	54.0	2.71e-09	CDK6	chr7:92080000-93200000	1.0	0.5860896570174668	0.7947991568949611
ENSG00000105810.9	HSALNG0059554	20.0	1.01e-09	CDK6	chr7:92080000-93200000	0.0	0.6906290427397425	0.6338331873578962
ENSG00000105810.9	HSALNG0059558	9.0	1.4e-10	CDK6	chr7:92080000-93200000	5.0	0.23679127103351857	0.75017540797846
ENSG00000105976.15	HSALNG0060740	160.0	1.3e-09	MET	chr7:115760000-116560000	5.0	0.3592356763354128	0.5903172381819254
ENSG00000105976.15	HSALNG0060744	6.0	1.43e-10	MET	chr7:115760000-116560000	0.0	0.03048844494102297	0.5079860846460216
ENSG00000105976.15	HSALNG0060745	221.0	3.35e-09	MET	chr7:115760000-116560000	11.0	0.2047703730448986	0.5143441146229956
ENSG00000105976.15	HSALNG0149779	3.0	3.94e-11	MET	chr7:115760000-116560000	0.0	0.2158401838571883	0.544934176342487
ENSG00000105976.15	HSALNG0060752	3.0	4.7e-11	MET	chr7:115760000-116560000	0.0	0.2140395486520345	0.5822000622061585
ENSG00000105976.15	HSALNG0060755	68.0	7.93e-10	MET	chr7:115760000-116560000	3.0	0.46593620357996046	0.7310704325271833
ENSG00000105976.15	HSALNG0060756	6.0	7.25e-11	MET	chr7:115760000-116560000	0.0	0.3728094105796365	0.5644182944213958
ENSG00000128602.11	HSALNG0061275	1.0	1.99e-11	SMO	chr7:127880000-129680000	20.0	0.7095447047274269	0.8529715078775615
ENSG00000182158.15	HSALNG0149817	2.0	3.57e-11	CREB3L2	chr7:137240000-138440000	0.0	0.6459070791841952	0.7662837580833421
ENSG00000182158.15	HSALNG0061652	45.0	1.64e-09	CREB3L2	chr7:137240000-138440000	0.0	0.555521164815898	0.5954579463380886
ENSG00000157764.13	HSALNG0061806	2.0	1.1e-10	BRAF	chr7:139720000-141480000	0.0	0.4738412901253366	0.5007462153917885
ENSG00000157764.13	HSALNG0061824	11.0	2.98e-10	BRAF	chr7:139720000-141480000	0.0	0.44164888187937756	0.5067018869757905
ENSG00000106462.11	HSALNG0062091	1.0	1.97e-11	EZH2	chr7:143800000-151920000	0.0	0.7214917522945711	0.7166164096537851
ENSG00000055609.18	HSALNG0062426	9.0	3.07e-10	KMT2C	chr7:150440000-152560000	0.0	0.5164306482162724	0.54196735839872
ENSG00000165392.11	HSALNG0064403	1.0	6.24e-11	WRN	chr8:30440000-31120000	0.0	0.5620160079697795	0.6194758549491478
ENSG00000147548.17	HSALNG0064584	57.0	1.92e-09	NSD3	chr8:37600000-38640000	0.0	0.4971536067666566	0.5173550581821149
ENSG00000077782.20	HSALNG0064660	1.0	4.4e-10	FGFR1	chr8:37600000-38640000	0.0	0.7384170108706308	0.8623642179137844
ENSG00000077782.20	HSALNG0150183	2.0	3.06e-11	FGFR1	chr8:37600000-38640000	6.0	0.6883953438615182	0.7665155437289165
ENSG00000046889.19	HSALNG0065970	2.0	6.46e-11	PREX2	chr8:67360000-70560000	0.0	0.8910939451654396	0.5277800130277096
ENSG00000140396.13	HSALNG0066044	58.0	1.15e-09	NCOA2	chr8:70520000-71640000	0.0	0.7375761736198644	0.7125038195214387
ENSG00000104517.13	HSALNG0067415	12.0	1.49e-10	UBR5	chr8:103240000-104560000	0.0	0.5012641878771968	0.559946504761454
ENSG00000182197.11	HSALNG0067976	309.0	2.87e-09	EXT1	chr8:118320000-119160000	0.0	0.6454957307542852	0.7720158652803109
ENSG00000182197.11	HSALNG0150281	101.0	2.83e-09	EXT1	chr8:118320000-119160000	0.0	0.43871064385698344	0.717723535282161
ENSG00000182197.11	HSALNG0150282	1.0	1.17e-11	EXT1	chr8:118320000-119160000	0.0	0.4873630766822626	0.7329729039163931
ENSG00000182197.11	HSALNG0067998	57.0	2.18e-09	EXT1	chr8:118320000-119160000	0.0	0.42530730145437534	0.6749362133905044
ENSG00000153707.17	HSALNG0069930	626.0	2.14e-08	PTPRD	chr9:7640000-12680000	17.0	0.4693628328835139	0.6081377678856893
ENSG00000147889.17	HSALNG0070394	11.0	6.9e-10	CDKN2A	chr9:19480000-28160000	2.0	0.3701630519642622	0.8725141990038555
ENSG00000147889.17	HSALNG0070397	3.0	3.54e-11	CDKN2A	chr9:19480000-28160000	7.0	0.3552407680892029	0.6122171033035482
ENSG00000156052.11	HSALNG0072077	213.0	4.06e-09	GNAQ	chr9:79320000-80960000	17.0	0.20171758655015976	0.5744130929264162
ENSG00000156052.11	HSALNG0072081	16.0	3.22e-10	GNAQ	chr9:79320000-80960000	0.0	0.6212127557128996	0.6317414400230209
ENSG00000165025.15	HSALNG0072680	171.0	2.86e-09	SYK	chr9:92840000-93680000	1.0	0.7046262526527177	0.7026332965914328
ENSG00000165238.16	HSALNG0072832	1.0	8.8e-12	WNK2	chr9:94800000-96760000	1.0	0.5345357660961221	0.5850213076487104
ENSG00000097007.19	HSALNG0074829	6.0	9.62e-11	ABL1	chr9:133320000-134640000	0.0	0.5041616153171218	0.6451334710596587
ENSG00000097007.19	HSALNG0074831	10.0	1.17e-09	ABL1	chr9:133320000-134640000	0.0	0.4732161390438442	0.5235747099491974
ENSG00000067082.15	HSALNG0075801	2.0	3.34e-11	KLF6	chr10:3200000-4840000	0.0	0.14606204018779778	0.5160396904800768
ENSG00000107485.18	HSALNG0076040	74.0	4.53e-09	GATA3	chr10:7520000-9360000	24.0	0.8491975461190884	0.8698975760403724
ENSG00000107485.18	HSALNG0076042	1.0	1.12e-09	GATA3	chr10:7520000-9360000	0.0	0.5565592944104002	0.5579072431009542
ENSG00000107485.18	HSALNG0076044	29.0	2.55e-10	GATA3	chr10:7520000-9360000	2.0	0.33583780257875534	0.5238137827799395
ENSG00000078403.17	HSALNG0076599	79.0	2.82e-09	MLLT10	chr10:21040000-22280000	0.0	0.4056350146852765	0.5960948309620296
ENSG00000148516.21	HSALNG0077083	52.0	7.05e-10	ZEB1	chr10:30920000-32680000	6.0	0.3026895824584943	0.527952587282404
